InterventionID,Name,Category,Cost_EUR,AbatementRate,MinTier,MaxTier,Lifespan_years,Source,Description
EE-01,LED Lighting Retrofit,Energy Efficiency,18000,0.04,0,2,10,IEA ETP 2024; Odyssee-MURE 2025,Full replacement of fluorescent/HPS lighting with LED. Reduces electricity consumption 40-60%; typical payback 3-5 yr.
EE-02,HVAC Heat Pump Upgrade,Energy Efficiency,75000,0.09,0,2,15,IEA ETP 2024 (heat pump LCOP); EU taxonomy Annex I,Replace gas-fired HVAC with industrial heat pump (COP ≥3.5). Aligned with EU Taxonomy Article 10 climate mitigation criteria.
EE-03,Motor & Drive Efficiency (IE3/IE4),Energy Efficiency,32000,0.06,0,2,12,IEA Industrial Motor Systems 2023; EU MEPS Regulation 2019/1781,Upgrade motors to IE3/IE4 class + variable speed drives on pumps/fans/compressors. 20-30% electricity saving on motor loads.
EE-04,Compressed Air Leak Repair,Energy Efficiency,8000,0.02,0,2,5,IEA Compressed Air Best Practice Guide 2022; Odyssee-MURE,Ultrasonic leak detection + repair programme. Average 20-30% reduction in compressed air energy use.
EE-05,Thermal Insulation Upgrade,Energy Efficiency,22000,0.05,0,2,20,JRC 2024 (Pulp & Paper EE scenarios); EU Taxonomy Delegated Act 2021,Pipe/vessel insulation upgrade and building envelope improvement. Reduces heat loss 15-25%.
RE-01,Rooftop Solar PV Installation,Renewable Energy,120000,0.12,0,2,25,IEA ETP 2024 (solar PV LCOE EU); EU taxonomy Art. 10 criteria,On-site solar PV (50-200 kWp). Avg EU industrial capex ~€700/kWp (2024). Self-consumption offsets grid electricity Scope 2.
RE-02,Green Electricity Tariff / PPA,Renewable Energy,5000,0.18,0,2,3,EU Energy Efficiency Directive 2023/1791 Art. 11; RE100 cost benchmarks,Switch to certified renewable electricity tariff or sign Power Purchase Agreement. Near-zero capex; covers Scope 2 market-based emissions.
FS-01,Industrial Heat Pump (Process Heat),Fuel Switching,180000,0.15,1,2,15,IEA ETP 2024 (heat pump levelised cost); EU taxonomy Annex I,Replace gas-fired process heat boiler with high-temp heat pump (T ≤150°C). Applicable to medium/high-emission facilities with significant thermal demand.
FS-02,Biomass Boiler Replacement,Fuel Switching,220000,0.2,2,2,20,IEA Bioenergy 2023; EU taxonomy Delegated Act 2021/2139 criteria 4.13,Replace fossil fuel boiler with certified sustainable biomass. High-emission facilities only. GHG savings ≥70% vs fossil baseline per EU taxonomy.
FS-03,Electric Forklift Fleet Conversion,Fuel Switching,45000,0.03,0,2,8,IEA Transport 2024; EU taxonomy Art. 10 (low-carbon transport),Convert diesel/LPG forklifts to electric. Reduces on-site combustion Scope 1 emissions from logistics.
PO-01,Waste Heat Recovery (ORC/HEX),Process Optimisation,95000,0.1,1,2,15,IEA Industrial Energy Efficiency 2022; Glenk et al. ZEW 2024,Organic Rankine Cycle or heat exchanger network to recover waste heat from exhaust/process streams. Best suited to medium/high-emission facilities.
PO-02,AI Production Scheduling Optimisation,Process Optimisation,55000,0.05,0,2,5,IEA Digitalisation & Energy 2023; EU taxonomy Art. 10 (manufacturing efficiency),"ML-based production scheduling to minimise energy peaks, reduce idle time and optimise batch throughput. 3-7% energy intensity reduction."
PO-03,Steam Trap & Distribution Audit,Process Optimisation,12000,0.03,0,2,7,World Bank Industrial EE Programme Guidelines 2024; IEA Steam Best Practice,"Systematic steam trap survey, replacement of failed traps, pipe insulation. Reduces steam losses 10-20%."
PO-04,Energy Management System (ISO 50001),Process Optimisation,28000,0.04,0,2,10,EU EED Art. 11/12 mandatory audits; IEA National EE Programme Design 2024,"ISO 50001-aligned EnMS: continuous monitoring, targeting & reporting. Average 3-5% ongoing savings beyond audit findings."
WC-01,Circular Packaging Redesign,Waste & Circular Economy,35000,0.025,0,2,8,EU Taxonomy Circular Economy Objectives Annex II; EC Packaging Regulation 2024,Lightweight/recyclable packaging redesign. Reduces upstream Scope 3 embedded carbon and on-site packaging waste emissions.
WC-02,Waste-to-Energy Diversion Programme,Waste & Circular Economy,18000,0.02,0,2,10,EU taxonomy Annex II (circular economy); IEA Waste-to-Energy 2023,Divert organic/combustible waste from landfill to certified energy recovery or anaerobic digestion. Reduces landfill CH4 Scope 1.
